"","HILA_Ea","PICO_Ea","RATE_Ea","BUPA_Eb","CACO_Eb","CANI_Eb","DIAE_Eb","GYJA_Eb","LELA_Eb","MAAC_Eb","ZAFA_Eb","APPA_M1","COTR_L","SPPU_L","STDO_L","AYMI_M1","COCA_M1","CRRO_M1","THPA_M1","GUMA_M2"
"O3",0,1,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,1,1,1
"O14",0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1
"O18",0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1
"O161",0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"O96",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"O700",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"O746",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"O30",0,1,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0
"O44",0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"O347",0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0
"O213",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O718",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"O741",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O752",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"O24",0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"O69",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"O114",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"O341",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O768",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O71",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O1",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"O25",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O52",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"O775",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"O190",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"O230",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"O719",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"O765",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
